ID	LABEL	TYPE	Parent
ID	A rdfs:label	TYPE	I ccf_part_of
UBERON:0000397	lymphocyte	owl:NamedIndividual	UBERON:0004989
UBERON:0011184	crypt epithelium	owl:NamedIndividual	UBERON:0004989
UBERON:0000397	lymphocyte	owl:NamedIndividual	UBERON:0000317
UBERON:0013485	crypt 	owl:NamedIndividual	UBERON:0000317
UBERON:0007177	lamina propria	owl:NamedIndividual	UBERON:0000317
UBERON:0001962	gut associated lymphoid tissue (GALT)/Isolated lymphoid follices (ILF)	owl:NamedIndividual	UBERON:0000317
UBERON:0007178	muscularis mucosa	owl:NamedIndividual	UBERON:0007178
UBERON:0003331	submucosa	owl:NamedIndividual	UBERON:0003331
UBERON:0001962	gut associated lymphoid tissue (GALT)/Isolated lymphoid follices (ILF)	owl:NamedIndividual	UBERON:0003331
UBERON:0005304	submucosal plexus of Henle	owl:NamedIndividual	UBERON:0003331
UBERON:0012398	circular muscle layer	owl:NamedIndividual	UBERON:0012489
UBERON:0002439	myenteric plexus of Auerbach	owl:NamedIndividual	UBERON:0012489
UBERON:0012399	longitudinal muscle layer	owl:NamedIndividual	UBERON:0012489
UBERON:0012375	subserosa	owl:NamedIndividual	UBERON:0012375
UBERON:0003335	serosa	owl:NamedIndividual	UBERON:0003335
UBERON:0013485	crypt 	owl:NamedIndividual	UBERON:0004989
UBERON:0007177	lamina propria	owl:NamedIndividual	UBERON:0004989
UBERON:0001962	gut associated lymphoid tissue (GALT)/Isolated lymphoid follices (ILF)	owl:NamedIndividual	UBERON:0004989
UBERON:0003331	submucosa	owl:NamedIndividual	UBERON:0004928
UBERON:0001962	gut associated lymphoid tissue (GALT)/Isolated lymphoid follices (ILF)	owl:NamedIndividual	UBERON:0004928
UBERON:0005304	submucosal plexus of Henle	owl:NamedIndividual	UBERON:0004928
UBERON:0003335	serosa	owl:NamedIndividual	UBERON:0012498
UBERON:0012419	omental coli	owl:NamedIndividual	UBERON:0012419
UBERON:0015716	epithelium	owl:NamedIndividual	UBERON:0003342
UBERON:0000397	lymphocyte	owl:NamedIndividual	UBERON:0000397
UBERON:0013485	crypt 	owl:NamedIndividual	UBERON:0000397
UBERON:0007177	lamina propria	owl:NamedIndividual	UBERON:0007177
UBERON:0004760	anal gland	owl:NamedIndividual	UBERON:0003331
UBERON:0005742	adventitia	owl:NamedIndividual	UBERON:0005742
UBERON:0001003	epidermis	owl:NamedIndividual	UBERON:0001003
UBERON:0002073	hair follicle	owl:NamedIndividual	UBERON:0002067
UBERON:0001821	sebaceous gland	owl:NamedIndividual	UBERON:0002067
UBERON:0002067		owl:NamedIndividual	UBERON:0001245
UBERON:0008974	apocrine gland	owl:NamedIndividual	UBERON:0002067
UBERON:0002384	fibroconnective tissue	owl:NamedIndividual	UBERON:0002067
UBERON:0001961	subcutaneous skin-associated lymphoid tissue	owl:NamedIndividual	UBERON:0002067
UBERON:0006134	nerve	owl:NamedIndividual	UBERON:0002067
UBERON:0000055	vessel	owl:NamedIndividual	UBERON:0002067
UBERON:0002384	fibroconnective tissue	owl:NamedIndividual	UBERON:0002190
UBERON:0001961	subcutaneous skin-associated lymphoid tissue	owl:NamedIndividual	UBERON:0002190
UBERON:0006134	nerve	owl:NamedIndividual	UBERON:0002190
UBERON:0000055	vessel	owl:NamedIndividual	UBERON:0002190
UBERON:0001367	external anal sphincter	owl:NamedIndividual	UBERON:0002190
