Terminal AS/ID	Terminal AS/label	Terminal AS/user_label	Terminal CT/ID	Terminal CT/label	Terminal CT/user_label	Markers	References
UBERON:0000178	Blood	Blood	CL:0000767	basophil	basophil	HGNC:4855, HGNC:2014, HGNC:2298, HGNC:6017, HGNC:4171, HGNC:7317, HGNC:6012, HGNC:6012, HGNC:6017, HGNC:1604, HGNC:3609	
UBERON:0000178	Blood	Blood	CL:0000771	eosinophil	eosinophil	HGNC:4855, HGNC:2014, HGNC:2298, HGNC:6017, HGNC:4171, HGNC:7317, HGNC:17890, HGNC:4015, HGNC:6017, HGNC:3609	
UBERON:0000178	Blood	Blood	CL:0000775	neutrophil	neutrophil	HGNC:6149, HGNC:7176, HGNC:8904, HGNC:8498, HGNC:10489, HGNC:3623, HGNC:500, HGNC:4015, HGNC:11249, HGNC:1820, HGNC:6140, HGNC:6149, HGNC:1645, HGNC:3619	
UBERON:0000178	Blood	Blood	CL:0000787	memory B cell	memory B cell	HGNC:1633, HGNC:7315, HGNC:5478, HGNC:5525, HGNC:6210, HGNC:10720, HGNC:11922, HGNC:1633, HGNC:7315, HGNC:2336, HGNC:1643, HGNC:11922, HGNC:5541, HGNC:5480	DOI:10.1002/jcla.20001
UBERON:0000178	Blood	Blood	CL:0000788	naive B cell	naive B cell	HGNC:1633, HGNC:8619, HGNC:5541, HGNC:7315, HGNC:11919, HGNC:3612, HGNC:1633, HGNC:7315, HGNC:2336, HGNC:5480, HGNC:11922, HGNC:7154, HGNC:1667, HGNC:1645	DOI:10.1038/s41467-019-12464-3
UBERON:0000178	Blood	Blood	CL:0000815	regulatory T cell	T regulatory	HGNC:12029, HGNC:12156, HGNC:6024, HGNC:30698, HGNC:6711, HGNC:636, HGNC:6106, HGNC:11910, HGNC:26838, HGNC:1607, HGNC:11918, HGNC:1674, HGNC:1678, HGNC:1706, HGNC:6008, HGNC:6106, HGNC:2505	
UBERON:0000178	Blood	Blood	CL:0000816	immature B cell	immature B cell	HGNC:1633, HGNC:8619, HGNC:5541, HGNC:7315, HGNC:1633, HGNC:7154, HGNC:7315, HGNC:5541, HGNC:5480	DOI:10.3389/fimmu.2012.00302
UBERON:0000178	Blood	Blood	CL:0000818	transitional stage B cell	transitional B cell	HGNC:38476, HGNC:11200, HGNC:1004, HGNC:11648, HGNC:18504, HGNC:1645, HGNC:1633, HGNC:7315, HGNC:2336, HGNC:1643, HGNC:5480, HGNC:11922, HGNC:7154, HGNC:1667, HGNC:1645, HGNC:1685	DOI:10.1073/pnas.172384399
UBERON:0000178	Blood	Blood	CL:0000824	mature natural killer cell	mature Natural killer	HGNC:12253, HGNC:6373, HGNC:2064, HGNC:2479, HGNC:4708, HGNC:4709, HGNC:9360, HGNC:3619, HGNC:1674, HGNC:1633, HGNC:7315, HGNC:7656, HGNC:3619, HGNC:921	
UBERON:0000178	Blood	Blood	CL:0000840	immature conventional dendritic cell	transitional Dendritic Cell (tDC)	HGNC:905, HGNC:10875, HGNC:1643, HGNC:1674, HGNC:1633, HGNC:1628, HGNC:3619, HGNC:7656, HGNC:6152, HGNC:6012, HGNC:905, HGNC:10875	DOI:10.1182/blood-2004-02-0769
UBERON:0000178	Blood	Blood	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	CD4 naive	HGNC:1673, HGNC:12029, HGNC:12156, HGNC:6024, HGNC:30698, HGNC:6711, HGNC:636, HGNC:11935, HGNC:1674, HGNC:1678, HGNC:1706, HGNC:9666, HGNC:1608	
UBERON:0000178	Blood	Blood	CL:0000897	CD4-positive, alpha-beta memory T cell	CD4 T cell memory	HGNC:26974, HGNC:16647, HGNC:9360, HGNC:2360, HGNC:6134, HGNC:4709, HGNC:1674, HGNC:1678, HGNC:1706, HGNC:9666, HGNC:1608	
UBERON:0000178	Blood	Blood	CL:0000897	CD4-positive, alpha-beta memory T cell	CD4 T cell memory	HGNC:1673, HGNC:12029, HGNC:6015, HGNC:11362, HGNC:6817, HGNC:19383, HGNC:6001, HGNC:8109, HGNC:19129, HGNC:12729, HGNC:9721, HGNC:11892, HGNC:7849, HGNC:1674, HGNC:1678, HGNC:1706, HGNC:9666, HGNC:1608	
UBERON:0000178	Blood	Blood	CL:0000897	CD4-positive, alpha-beta memory T cell	CD4 T cell memory	HGNC:1673, HGNC:12029, HGNC:4054, HGNC:6563, HGNC:26974, HGNC:537, HGNC:2360, HGNC:1674, HGNC:1678, HGNC:1706, HGNC:9666, HGNC:1608	
UBERON:0000178	Blood	Blood	CL:0000900	naive thymus-derived CD8-positive, alpha-beta T cell	CD8 naive	HGNC:1673, HGNC:12029, HGNC:636, HGNC:6024, HGNC:1674, HGNC:1678, HGNC:1706, HGNC:9666, HGNC:1608	
UBERON:0000178	Blood	Blood	CL:0000938	CD16-negative, CD56-bright natural killer cell, human	CD56 bright Natural killer	HGNC:12253, HGNC:6373, HGNC:2064, HGNC:2479, HGNC:10645, HGNC:4711, HGNC:1674, HGNC:1633, HGNC:7315, HGNC:7656, HGNC:3619	
UBERON:0000178	Blood	Blood	CL:0001050	effector CD8-positive, alpha-beta T cell	CD8 T cell effector memory	HGNC:1673, HGNC:12029, HGNC:10627, HGNC:10630, HGNC:24961, HGNC:4709, HGNC:1674, HGNC:1678, HGNC:1706, HGNC:9666, HGNC:1608	
