Terminal AS/ID	Terminal AS/label	Terminal AS/user_label	Terminal CT/ID	Terminal CT/label	Terminal CT/user_label	Markers
UBERON:0018243	thymic artery	thymic artery	CL:0000071	blood vessel endothelial cell	blood endothelial cell	HGNC:7, HGNC:633, HGNC:6722, HGNC:5397, HGNC:7899, HGNC:13635, HGNC:9844, HGNC:10044, HGNC:11220, HGNC:11853, HGNC:8823
UBERON:0001591	thymic vein	thymic vein	CL:0000071	blood vessel endothelial cell	blood endothelial cell	HGNC:7, HGNC:633, HGNC:6722, HGNC:5397, HGNC:7899, HGNC:13635, HGNC:9844, HGNC:10044, HGNC:11220, HGNC:11853, HGNC:8823
UBERON:0004791	thymus trabecula	thymus trabecula	CL:0000097	mast cell	mast cell	HGNC:2298, HGNC:4171, HGNC:21041, HGNC:17890, HGNC:5998, HGNC:6644, HGNC:248, HGNC:11925, HGNC:12019, HGNC:14120
UBERON:0003988	thymus corticomedullary boundary	corticomedullary boundary of thymus	CL:0000576	monocyte	monocyte	HGNC:1804, HGNC:2545, HGNC:3623, HGNC:6740, HGNC:10494, HGNC:10496, HGNC:10498, HGNC:10499, HGNC:10489, HGNC:2464
UBERON:0002124	medulla of thymus	medulla of thymus	CL:0000623	natural killer cell	natural killer cell	HGNC:28783, HGNC:4414, HGNC:24961, HGNC:6373, HGNC:6374, HGNC:6378, HGNC:13342, HGNC:7830, HGNC:12449, HGNC:10646
UBERON:0004791	thymus trabecula	thymus trabecula	CL:0000764	erythroid lineage cell	erythroid	HGNC:18075, HGNC:397, HGNC:1063, HGNC:28036, HGNC:4823, HGNC:4824, HGNC:4827, HGNC:4831, HGNC:4832, HGNC:4826
UBERON:0002123	cortex of thymus	cortex of thymus	CL:0000764	erythroid lineage cell	erythroid	HGNC:18075, HGNC:397, HGNC:1063, HGNC:28036, HGNC:4823, HGNC:4824, HGNC:4827, HGNC:4831, HGNC:4832, HGNC:4826
UBERON:0004791	thymus trabecula	thymus trabecula	CL:0000771	eosinophil	eosinophil	HGNC:1659, HGNC:9362, HGNC:6059
UBERON:0003988	thymus corticomedullary boundary	corticomedullary boundary of thymus	CL:0000771	eosinophil	eosinophil	HGNC:1659, HGNC:9362, HGNC:6059
UBERON:0002124	medulla of thymus	medulla of thymus	CL:0000771	eosinophil	eosinophil	HGNC:1659, HGNC:9362, HGNC:6059
