Terminal AS/ID	Terminal AS/label	Terminal AS/user_label	Terminal CT/ID	Terminal CT/label	Terminal CT/user_label	Markers
UBERON:8410033	lymph node vein	Hilar Vein	CL:0000071	blood vessel endothelial cell	Blood Vessel Endothelial Cell	HGNC:1527, HGNC:10612, HGNC:1662, HGNC:1697, HGNC:1641, HGNC:30455, HGNC:4035, HGNC:16041, HGNC:17474, HGNC:5344, HGNC:14686, HGNC:4947, HGNC:4948, HGNC:4938, HGNC:4940, HGNC:6895, HGNC:13635, HGNC:9707, HGNC:11220, HGNC:8823, HGNC:1662, HGNC:1689, HGNC:3349, HGNC:1764, HGNC:16041, HGNC:5344, HGNC:29602, HGNC:9459
UBERON:8410042	arteriole of lymph node	Arteriole	CL:0000071	blood vessel endothelial cell	Blood Vessel Endothelial Cell	HGNC:1527, HGNC:10612, HGNC:1662, HGNC:1697, HGNC:1641, HGNC:30455, HGNC:4035, HGNC:16041, HGNC:17474, HGNC:5344, HGNC:14686, HGNC:4947, HGNC:4948, HGNC:4938, HGNC:4940, HGNC:6895, HGNC:13635, HGNC:9707, HGNC:11220, HGNC:8823, HGNC:1662, HGNC:1689, HGNC:3349, HGNC:1764, HGNC:29602, HGNC:9459
UBERON:8410041	venule of lymph node	Venule	CL:0000071	blood vessel endothelial cell	Blood Vessel Endothelial Cell	HGNC:1527, HGNC:10612, HGNC:1662, HGNC:1697, HGNC:1641, HGNC:30455, HGNC:4035, HGNC:16041, HGNC:17474, HGNC:5344, HGNC:14686, HGNC:4947, HGNC:4948, HGNC:4938, HGNC:4940, HGNC:6895, HGNC:13635, HGNC:9707, HGNC:11220, HGNC:8823, HGNC:1662, HGNC:1689, HGNC:3349, HGNC:1764, HGNC:29602, HGNC:9459
UBERON:8410036	medullary venule of lymph node	Venule	CL:0000071	blood vessel endothelial cell	Blood Vessel Endothelial Cell	HGNC:1527, HGNC:10612, HGNC:1662, HGNC:1697, HGNC:1641, HGNC:30455, HGNC:4035, HGNC:16041, HGNC:17474, HGNC:5344, HGNC:14686, HGNC:4947, HGNC:4948, HGNC:4938, HGNC:4940, HGNC:6895, HGNC:13635, HGNC:9707, HGNC:11220, HGNC:8823, HGNC:1662, HGNC:3349, HGNC:1764, HGNC:29602, HGNC:9459
UBERON:8410042	arteriole of lymph node	Arteriole	CL:0000071	blood vessel endothelial cell	Blood Vessel Endothelial Cell	HGNC:1527, HGNC:10612, HGNC:1662, HGNC:1697, HGNC:1641, HGNC:30455, HGNC:4035, HGNC:16041, HGNC:17474, HGNC:5344, HGNC:14686, HGNC:4947, HGNC:4948, HGNC:4938, HGNC:4940, HGNC:6895, HGNC:13635, HGNC:9707, HGNC:11220, HGNC:8823, HGNC:1662, HGNC:3349, HGNC:1764, HGNC:29602, HGNC:9459
UBERON:8410035	medullary arteriole of lymph node	Arteriole	CL:0000071	blood vessel endothelial cell	Blood Vessel Endothelial Cell	HGNC:1527, HGNC:10612, HGNC:1662, HGNC:1697, HGNC:1641, HGNC:30455, HGNC:4035, HGNC:16041, HGNC:17474, HGNC:5344, HGNC:14686, HGNC:4947, HGNC:4948, HGNC:4938, HGNC:4940, HGNC:6895, HGNC:13635, HGNC:9707, HGNC:11220, HGNC:8823, HGNC:1662, HGNC:3349, HGNC:1764, HGNC:29602, HGNC:9459
UBERON:8410038	high endothelial venule of lymph node	High Endothelial Venule	CL:0000071	blood vessel endothelial cell	Blood Vessel Endothelial Cell	HGNC:1527, HGNC:10612, HGNC:1662, HGNC:1697, HGNC:1641, HGNC:30455, HGNC:4035, HGNC:16041, HGNC:17474, HGNC:5344, HGNC:14686, HGNC:4947, HGNC:4948, HGNC:4938, HGNC:4940, HGNC:6895, HGNC:13635, HGNC:9707, HGNC:11220, HGNC:8823, HGNC:6012, HGNC:2203, HGNC:29909, HGNC:130
UBERON:8410042	arteriole of lymph node	Arteriole	CL:0000071	blood vessel endothelial cell	Blood Vessel Endothelial Cell	HGNC:1527, HGNC:10612, HGNC:1662, HGNC:1697, HGNC:1641, HGNC:30455, HGNC:4035, HGNC:16041, HGNC:17474, HGNC:5344, HGNC:14686, HGNC:4947, HGNC:4948, HGNC:4938, HGNC:4940, HGNC:6895, HGNC:13635, HGNC:9707, HGNC:11220, HGNC:8823, HGNC:1662
UBERON:8410034	lymph node artery	Lymphatic Artery	CL:0000071	blood vessel endothelial cell	Blood Vessel Endothelial Cell	HGNC:1527, HGNC:10612, HGNC:1662, HGNC:1697, HGNC:1641, HGNC:30455, HGNC:4035, HGNC:16041, HGNC:17474, HGNC:5344, HGNC:14686, HGNC:4947, HGNC:4948, HGNC:4938, HGNC:4940, HGNC:6895, HGNC:13635, HGNC:9707, HGNC:11220, HGNC:8823, HGNC:1662, HGNC:1689, HGNC:3349, HGNC:1764, HGNC:4279, HGNC:5344, HGNC:29602, HGNC:9459
UBERON:8410042	arteriole of lymph node	Arteriole	CL:0000071	blood vessel endothelial cell	Blood Vessel Endothelial Cell	HGNC:1527, HGNC:10612, HGNC:1662, HGNC:1697, HGNC:1641, HGNC:30455, HGNC:4035, HGNC:16041, HGNC:17474, HGNC:5344, HGNC:14686, HGNC:4947, HGNC:4948, HGNC:4938, HGNC:4940, HGNC:6895, HGNC:13635, HGNC:9707, HGNC:11220, HGNC:8823, HGNC:1662, HGNC:3349, HGNC:1764, HGNC:3763, HGNC:29602, HGNC:9459
