s	slabel	user_slabel	o	olabel	user_olabel	row_number	deltaIC
UBERON:0000010	peripheral nervous system	peripheral nervous system	UBERON:0004184	prostate gland stroma	prostate gland stroma	26	50.94441878434779
UBERON:0007798	vascular system	vascular system	UBERON:0002367	prostate gland	prostate gland	24	20.352427184439307
UBERON:0007798	vascular system	vascular system	UBERON:0002367	prostate gland	prostate gland	23	20.352427184439307
UBERON:0000010	peripheral nervous system	peripheral nervous system	UBERON:0002367	prostate gland	prostate gland	25	20.330512737931585
CL:0002144	capillary endothelial cell	capillary endothelial cell	CL:2000059	prostate gland microvascular endothelial cell	microvascular endothelial cell	20	19.76714102475512
UBERON:0004537	blood vasculature	vascular system	UBERON:0002367	prostate gland	prostate gland	20	17.900689662865993
UBERON:0004537	blood vasculature	vascular system	UBERON:0002367	prostate gland	prostate gland	21	17.900689662865993
UBERON:0004537	blood vasculature	vascular system	UBERON:0002367	prostate gland	prostate gland	19	17.900689662865993
CL:0002543	vein endothelial cell	vein endothelial cell	CL:2000059	prostate gland microvascular endothelial cell	microvascular endothelial cell	21	17.41364502677355
CL:1000413	endothelial cell of artery	endothelial cell of artery	CL:2000059	prostate gland microvascular endothelial cell	microvascular endothelial cell	19	15.822353165013155
UBERON:0000428	prostate epithelium	prostate epithelium	UBERON:0004179	Prostate Glandular Acinus	Prostate Glandular Acinus	13	7.6058794140060115
UBERON:0000428	prostate epithelium	prostate epithelium	UBERON:0004179	Prostate Glandular Acinus	Prostate Glandular Acinus	15	7.6058794140060115
UBERON:0000428	prostate epithelium	prostate epithelium	UBERON:0004179	Prostate Glandular Acinus	Prostate Glandular Acinus	14	7.6058794140060115
UBERON:0000428	prostate epithelium	prostate epithelium	UBERON:0004179	Prostate Glandular Acinus	Prostate Glandular Acinus	12	7.6058794140060115
UBERON:0004184	prostate gland stroma	prostate stroma	UBERON:0015131	subepithelial connective tissue of prostatic gland	Prostate Glandular Acinus	18	4.573685769584799
UBERON:0004184	prostate gland stroma	prostate stroma	UBERON:0015131	subepithelial connective tissue of prostatic gland	Prostate Glandular Acinus	17	4.573685769584799
UBERON:0004184	prostate gland stroma	prostate stroma	UBERON:0004243	prostate gland smooth muscle	Prostate Glandular Acinus	16	4.573685769584799
CL:0005006	ionocyte	ionocyte	UBERON:0000428	prostate epithelium	prostate epithelium	15	
CL:1000487	smooth muscle cell of prostate	prostate smooth muscle	UBERON:0004184	prostate gland stroma	prostate stroma	16	
CL:1000301	fibroblast of subepithelial connective tissue of prostatic gland	periepithelial fibroblast of prostate	UBERON:0004184	prostate gland stroma	prostate stroma	17	
CL:1000299	fibroblast of connective tissue of prostate	interstitial fibroblast	UBERON:0004184	prostate gland stroma	prostate stroma	18	
UBERON:0004536	lymph vasculature	lymph vasculature	UBERON:0002367	prostate gland	prostate gland	22	
CL:0000669	pericyte	perictye	UBERON:0001981	blood vessel	blood vessel	24	
UBERON:0000010	peripheral nervous system	peripheral nervous system	UBERON:0000010	peripheral nervous system	peripheral nervous system	25	
UBERON:0000010	peripheral nervous system	peripheral nervous system	UBERON:0000010	peripheral nervous system	peripheral nervous system	26	
