s	slabel	user_slabel	o	olabel	user_olabel	row_number	deltaIC
CL:0000084	T Cell	T Cell	UBERON:0013688	tonsil germinal center	tonsil germinal center	59	44.421741055089456
CL:0000236	B cell	B cell	UBERON:0013688	tonsil germinal center	tonsil germinal center	57	44.35921057252182
UBERON:0001981	blood vessel	blood vessel	UBERON:0002373	palatine tonsil	palatine tonsil	27	41.552679436085945
UBERON:0001981	blood vessel	blood vessel	UBERON:0002373	palatine tonsil	palatine tonsil	25	41.552679436085945
UBERON:0001981	blood vessel	blood vessel	UBERON:0002373	palatine tonsil	palatine tonsil	30	41.552679436085945
UBERON:0001981	blood vessel	blood vessel	UBERON:0002373	palatine tonsil	palatine tonsil	29	41.552679436085945
UBERON:0001981	blood vessel	blood vessel	UBERON:0002373	palatine tonsil	palatine tonsil	28	41.552679436085945
UBERON:0001981	blood vessel	blood vessel	UBERON:0002373	palatine tonsil	palatine tonsil	26	41.552679436085945
CL:0000235	Macrophage	macrophage	UBERON:0013688	tonsil germinal center	tonsil germinal center	60	35.62839632775888
CL:0000624	CD4-positive, alpha-beta T cell	CD4 T cell	UBERON:0013688	tonsil germinal center	tonsil germinal center	55	34.106168976792915
CL:0000084	T cell	T cell	UBERON:0002373	palatine tonsil	palatine tonsil	15	32.615658468511356
CL:0000236	B cell	B cell	UBERON:0002373	palatine tonsil	palatine tonsil	20	32.55312798594372
CL:0000057	Fibroblast	fibroblast	UBERON:0002373	palatine tonsil	palatine tonsil	18	30.602356767919396
CL:0000786	Plasma Cell	plasma cell	UBERON:0013688	tonsil germinal center	tonsil germinal center	58	26.283815377613166
CL:0000815	regulatory T cell	regulatory T cell	UBERON:0013688	tonsil germinal center	tonsil germinal center	56	26.035140576858808
CL:0000451	Dendritic Cell	dendritic cell	UBERON:0002373	palatine tonsil	palatine tonsil	21	24.025966600899736
CL:0000235	Macrophage	macrophage	UBERON:0002373	palatine tonsil	palatine tonsil	22	23.82231374118078
CL:0000624	CD4-positive, alpha-beta T cell	CD4 T cell	UBERON:0002373	palatine tonsil	palatine tonsil	16	22.300086390214815
CL:0000844	germinal center B cell	germinal center B cell	UBERON:0013688	tonsil germinal center	tonsil germinal center	61	21.467924385798227
CL:0000844	germinal center B cell	germinal center B cell	UBERON:0013688	tonsil germinal center	tonsil germinal center	62	21.467924385798227
CL:0000625	CD8-positive, alpha-beta T cell	CD8 T cell	UBERON:0002373	palatine tonsil	palatine tonsil	17	19.165853294437653
CL:0000786	Plasma Cell	plasma cell	UBERON:0002373	palatine tonsil	palatine tonsil	24	14.477732791035066
CL:0000786	Plasma Cell	plasma cell	UBERON:0002373	palatine tonsil	palatine tonsil	23	14.477732791035066
CL:0000235	Macrophage	macrophage	UBERON:0010754	germinal center	germinal center	47	9.104950900502033
CL:0000432	Reticular cell	reticular cells	UBERON:0002373	palatine tonsil	palatine tonsil	19	3.365881193930477
UBERON:0010423	primary lymphoid nodule of tonsil	primary nodular lymphoid tissue	UBERON:0002373	palatine tonsil	palatine tonsil	11	
UBERON:0012181	tonsil crypt	tonsil crypt	UBERON:0002373	palatine tonsil	palatine tonsil	12	
UBERON:0005207	tonsil capsule	tonsil capsule	UBERON:0002373	palatine tonsil	palatine tonsil	13	
UBERON:0013696	tonsil epithelium	tonsil epithelium	UBERON:0002373	palatine tonsil	palatine tonsil	14	
CL:4033068	cycling B cell	Cycling B	UBERON:0010754	germinal center	germinal center	41	
CL:0000815	regulatory T cell	regulatory T cell	UBERON:0010754	germinal center	germinal center	43	
CL:0000786	Plasma Cell	plasma cell	UBERON:0010754	germinal center	germinal center	45	
CL:0009112	centroblast	Centroblast	UBERON:0013688	tonsil germinal center	tonsil germinal center	53	
CL:4033068	cycling B cell	Cycling B	UBERON:0013688	tonsil germinal center	tonsil germinal center	54	
