s	slabel	user_slabel	o	olabel	user_olabel	row_number	deltaIC
CL:0000815	regulatory T cell	regulatory T cell	UBERON:0013688	tonsil germinal center	tonsil germinal center	57	100.0
CL:0000236	B cell	B cell	UBERON:0013688	tonsil germinal center	tonsil germinal center	58	100.0
CL:0000786	Plasma Cell	plasma cell	UBERON:0013688	tonsil germinal center	tonsil germinal center	59	100.0
CL:0000084	T Cell	T Cell	UBERON:0013688	tonsil germinal center	tonsil germinal center	60	100.0
CL:0000624	CD4-positive, alpha-beta T cell	CD4 T cell	UBERON:0013688	tonsil germinal center	tonsil germinal center	56	99.99999778654205
CL:0000235	Macrophage	macrophage	UBERON:0013688	tonsil germinal center	tonsil germinal center	61	77.8461533
CL:0000084	T cell	T cell	UBERON:0002372	tonsil	tonsil	16	
CL:0000624	CD4-positive, alpha-beta T cell	CD4 T cell	UBERON:0002372	tonsil	tonsil	17	
CL:0000625	CD8-positive, alpha-beta T cell	CD8 T cell	UBERON:0002372	tonsil	tonsil	18	
CL:0000057	Fibroblast	fibroblast	UBERON:0002372	tonsil	tonsil	19	
CL:0000432	Reticular cell	reticular cells	UBERON:0002372	tonsil	tonsil	20	
CL:0000451	Dendritic Cell	dendritic cell	UBERON:0002372	tonsil	tonsil	22	
CL:0000786	Plasma Cell	plasma cell	UBERON:0002372	tonsil	tonsil	24	
UBERON:0001981	blood vessel	blood vessel	UBERON:0002372	tonsil	tonsil	26	
UBERON:0001981	blood vessel	blood vessel	UBERON:0002372	tonsil	tonsil	27	
UBERON:0001981	blood vessel	blood vessel	UBERON:0002372	tonsil	tonsil	28	
UBERON:0001981	blood vessel	blood vessel	UBERON:0002372	tonsil	tonsil	29	
UBERON:0001981	blood vessel	blood vessel	UBERON:0002372	tonsil	tonsil	30	
UBERON:0001981	blood vessel	blood vessel	UBERON:0002372	tonsil	tonsil	31	
CL:0000815	regulatory T cell	regulatory T cell	UBERON:0010754	germinal center	germinal center	44	
CL:0000786	Plasma Cell	plasma cell	UBERON:0010754	germinal center	germinal center	46	
CL:0000235	Macrophage	macrophage	UBERON:0010754	germinal center	germinal center	48	
