s	slabel	user_slabel	o	olabel	user_olabel	row_number	deltaIC
UBERON:0009980	condyle of femur	Distal Femur	UBERON:0001485	Knee Joint	knee joint	12	1.2334266682235801e-15
UBERON:0009980	condyle of femur	Distal Femur	UBERON:0001485	Knee Joint	knee joint	13	1.2334266682235801e-15
UBERON:0009980	condyle of femur	Distal Femur	UBERON:0001485	Knee Joint	knee joint	30	1.2334266682235801e-15
UBERON:0009980	condyle of femur	Distal Femur	UBERON:0001485	Knee Joint	knee joint	29	1.2334266682235801e-15
UBERON:0009980	condyle of femur	Distal Femur	UBERON:0001485	Knee Joint	knee joint	28	1.2334266682235801e-15
UBERON:0009980	condyle of femur	Distal Femur	UBERON:0001485	Knee Joint	knee joint	27	1.2334266682235801e-15
UBERON:0009980	condyle of femur	Distal Femur	UBERON:0001485	Knee Joint	knee joint	26	1.2334266682235801e-15
UBERON:0009980	condyle of femur	Distal Femur	UBERON:0001485	Knee Joint	knee joint	25	1.2334266682235801e-15
UBERON:0009980	condyle of femur	Distal Femur	UBERON:0001485	Knee Joint	knee joint	24	1.2334266682235801e-15
UBERON:0009980	condyle of femur	Distal Femur	UBERON:0001485	Knee Joint	knee joint	23	1.2334266682235801e-15
UBERON:0009980	condyle of femur	Distal Femur	UBERON:0001485	Knee Joint	knee joint	22	1.2334266682235801e-15
UBERON:0009980	condyle of femur	Distal Femur	UBERON:0001485	Knee Joint	knee joint	21	1.2334266682235801e-15
UBERON:0009980	condyle of femur	Distal Femur	UBERON:0001485	Knee Joint	knee joint	20	1.2334266682235801e-15
UBERON:0009980	condyle of femur	Distal Femur	UBERON:0001485	Knee Joint	knee joint	19	1.2334266682235801e-15
UBERON:0009980	condyle of femur	Distal Femur	UBERON:0001485	Knee Joint	knee joint	18	1.2334266682235801e-15
UBERON:0009980	condyle of femur	Distal Femur	UBERON:0001485	Knee Joint	knee joint	17	1.2334266682235801e-15
UBERON:0009980	condyle of femur	Distal Femur	UBERON:0001485	Knee Joint	knee joint	16	1.2334266682235801e-15
UBERON:0009980	condyle of femur	Distal Femur	UBERON:0001485	Knee Joint	knee joint	15	1.2334266682235801e-15
UBERON:0009980	condyle of femur	Distal Femur	UBERON:0001485	Knee Joint	knee joint	14	1.2334266682235801e-15
UBERON:0009980	condyle of femur	Distal Femur	UBERON:0001485	Knee Joint	knee joint	31	1.2334266682235801e-15
UBERON:0010996	articular cartilage of joint	Articular cartilage of a joint	UBERON:0009984	medial condyle of femur	Medial Condyle	12	
UBERON:0010996	articular cartilage of joint	Articular cartilage of a joint	UBERON:0009984	medial condyle of femur	Medial Condyle	13	
UBERON:0010996	articular cartilage of joint	Articular cartilage of a joint	UBERON:0009984	medial condyle of femur	Medial Condyle	14	
UBERON:0010996	articular cartilage of joint	Articular cartilage of a joint	UBERON:0009984	medial condyle of femur	Medial Condyle	15	
UBERON:0010996	articular cartilage of joint	Articular cartilage of a joint	UBERON:0009984	medial condyle of femur	Medial Condyle	16	
UBERON:0010996	articular cartilage of joint	Articular cartilage of a joint	UBERON:0009984	medial condyle of femur	Medial Condyle	17	
UBERON:0010996	articular cartilage of joint	Articular cartilage of a joint	UBERON:0009984	medial condyle of femur	Medial Condyle	18	
UBERON:0010996	articular cartilage of joint	Articular cartilage of a joint	UBERON:0009984	medial condyle of femur	Medial Condyle	19	
UBERON:0010996	articular cartilage of joint	Articular cartilage of a joint	UBERON:0009984	medial condyle of femur	Medial Condyle	20	
UBERON:0010996	articular cartilage of joint	Articular cartilage of a joint	UBERON:0009984	medial condyle of femur	Medial Condyle	21	
CL:0000743	hypertrophic chondrocyte	Hypertrophic Chondrocyte	CL:1001607	articular chondrocyte	articular chondrocyte	21	
CL:0000743	hypertrophic chondrocyte	Hypertrophic Chondrocyte	UBERON:0010996	articular cartilage of joint	Articular cartilage of a joint	21	
UBERON:0010996	articular cartilage of joint	Articular cartilage of a joint	UBERON:0009985	lateral condyle of femur	Lateral Condyle	22	
UBERON:0010996	articular cartilage of joint	Articular cartilage of a joint	UBERON:0009985	lateral condyle of femur	Lateral Condyle	23	
UBERON:0010996	articular cartilage of joint	Articular cartilage of a joint	UBERON:0009985	lateral condyle of femur	Lateral Condyle	24	
UBERON:0010996	articular cartilage of joint	Articular cartilage of a joint	UBERON:0009985	lateral condyle of femur	Lateral Condyle	25	
UBERON:0010996	articular cartilage of joint	Articular cartilage of a joint	UBERON:0009985	lateral condyle of femur	Lateral Condyle	26	
UBERON:0010996	articular cartilage of joint	Articular cartilage of a joint	UBERON:0009985	lateral condyle of femur	Lateral Condyle	27	
UBERON:0010996	articular cartilage of joint	Articular cartilage of a joint	UBERON:0009985	lateral condyle of femur	Lateral Condyle	28	
UBERON:0010996	articular cartilage of joint	Articular cartilage of a joint	UBERON:0009985	lateral condyle of femur	Lateral Condyle	29	
UBERON:0010996	articular cartilage of joint	Articular cartilage of a joint	UBERON:0009985	lateral condyle of femur	Lateral Condyle	30	
UBERON:0010996	articular cartilage of joint	Articular cartilage of a joint	UBERON:0009985	lateral condyle of femur	Lateral Condyle	31	
CL:0000743	hypertrophic chondrocyte	Hypertrophic Chondrocyte	CL:1001607	articular chondrocyte	articular chondrocyte	31	
CL:0000743	hypertrophic chondrocyte	Hypertrophic Chondrocyte	UBERON:0010996	articular cartilage of joint	Articular cartilage of a joint	31	
