s	slabel	user_slabel	o	olabel	user_olabel
CL:0000653	glomerular visceral epithelial cell	Podocyte	UBERON:0006852	glomerular visceral epithelium	visceral epithelial layer
CL:1000850	macula densa epithelial cell	Macula Densa cell	UBERON:0001291	thick ascending limb of loop of Henle	Loop of Henle (Thick Limb/ Cortex)
CL:0000115	endothelial cell	Endothelial Cell	UBERON:0001986	endothelium	Endothelium (non glomerular)
CL:0002138	endothelial cell of lymphatic vessel	Lymphatic Endothelial Cell	UBERON:0002042	lymphatic vessel endothelium	lymphatics
CL:1001318	renal interstitial pericyte	Vascular Smooth Muscle Cell/Pericyte (general)	UBERON:0005215	kidney interstitium	Interstitium
CL:0000648	kidney granular cell	Juxtaglomerular granular cell (Renin positive)	UBERON:0005215	kidney interstitium	Interstitium
CL:0000875	non-classical monocyte	non Classical Monocyte	UBERON:0005215	kidney interstitium	Interstitium
CL:0000623	natural killer cell	Natural Killer Cell	UBERON:0005215	kidney interstitium	Interstitium
CL:0000814	mature NK T cell	Natural Killer T Cell	UBERON:0005215	kidney interstitium	Interstitium
CL:0001056	dendritic cell, human	Dendritic Cell (general)	UBERON:0005215	kidney interstitium	Interstitium
CL:0000990	conventional dendritic cell	Dendritic Cell (classical)	UBERON:0005215	kidney interstitium	Interstitium
CL:0001058	plasmacytoid dendritic cell, human	Dendritic Cell (plasmatoid)	UBERON:0005215	kidney interstitium	Interstitium
CL:0000576	monocyte	Monocyte	UBERON:0005215	kidney interstitium	Interstitium
CL:0000084	T cell	T Cell	UBERON:0005215	kidney interstitium	Interstitium
CL:0000910	cytotoxic T cell	Cytotoxic T Cell	UBERON:0005215	kidney interstitium	Interstitium
CL:0000236	B cell	B cell	UBERON:0005215	kidney interstitium	Interstitium
CL:0000786	plasma cell	Plasma cell	UBERON:0005215	kidney interstitium	Interstitium
CL:0000775	neutrophil	Neutrophil	UBERON:0005215	kidney interstitium	Interstitium
CL:0000097	mast cell	Mast cell	UBERON:0005215	kidney interstitium	Interstitium
