Terminal AS/ID	Terminal AS/label	Terminal AS/user_label	CL Name	References/ID	References/DOI
UBERON:0004911		epithelium of female gonad	columnar ovarian surface epithelial columnar cell	Mills et al 2020 ; Reeves et al 1971 ; Hummitzsch et al 2013 ; Blaustein et al 1979 ; McKay et al 1961	
UBERON:0004911		epithelium of female gonad	flattened cuboidal ovarian surface epithelial cell	Mills et al 2020 ; Reeves et al 1971 ; Hummitzsch et al 2013 ; Blaustein et al 1979 ; McKay et al 1961	
UBERON:0002512		corpus luteum	corpus luteum endothelial cell		
UBERON:0002512		corpus luteum	corpus luteum macrophage		
UBERON:0006960		ovary stroma	Stroma Type I cell		
UBERON:0006960		ovary stroma	Stroma Type II cell		
UBERON:0006960		ovary stroma	Stroma Type III cell		
UBERON:0006960		ovary stroma	Stroma Type IV cell		
UBERON:0006960		ovary stroma	Stroma Type V cell		
UBERON:2001571		postovulatory follicle	mural granulosa cell	doi:10.1093/oxfordjournals.humrep.a136365	doi:10.1093/oxfordjournals.humrep.a136365
UBERON:0007180		atretic follicle of ovary	pre-antral follicle granulosa cell		
UBERON:0001305		ovarian follicle	pre-antral follicle granulosa cell		
UBERON:0002512		corpus luteum	luteal cell		
UBERON:0002512		corpus luteum	theca cell		
UBERON:0003981		primordial ovarian follicle	pre-antral follicle granulosa cell		
		preantral follicle	pre-antral follicle granulosa cell		
UBERON:0000035		primary ovarian follicle	pre-antral follicle granulosa cell		
UBERON:0000036	secondary ovarian follicle	secondary ovarian follicle	pre-antral follicle granulosa cell		
		antral follicle	mural granulosa cell	doi:10.1093/oxfordjournals.humrep.a136365	doi:10.1093/oxfordjournals.humrep.a136365
UBERON:0003982	mature ovarian follicle	ovulatory antral follicle	mural granulosa cell	doi:10.1093/oxfordjournals.humrep.a136365	doi:10.1093/oxfordjournals.humrep.a136365
UBERON:0000156		theca externa	theca cell		
UBERON:0000157		theca interna	theca cell		
UBERON:0005170		granulosa cell layer	cumulus granulosa cell		
