s	slabel	user_slabel	o	olabel	user_olabel
UBERON:0001194	splenic artery	Splenic Artery	UBERON:1000023	spleen pulp	Splenic Pulp
UBERON:0012373	sympathetic nerve plexus	Sympathetic nerves 	UBERON:0001194	splenic artery	Splenic Artery
UBERON:0012373	sympathetic nerve plexus	Sympathetic nerves 	UBERON:0010401	spleen central arteriole	Periarteriolar Lymphoid Sheath (PALS)
UBERON:0003713	splenic vein	Splenic Vein	UBERON:0001250	red pulp of spleen	Red Pulp
UBERON:0001194	splenic artery	Splenic Artery	UBERON:0001248	hilum of spleen	Hilum
UBERON:0003713	splenic vein	Splenic Vein	UBERON:0001248	hilum of spleen	Hilum
UBERON:0012373	sympathetic nerve plexus	Sympathetic nerves 	UBERON:0001248	hilum of spleen	Hilum
UBERON:0001473	lymphatic vessel	Lymphatic Vessels	UBERON:0001248	hilum of spleen	Hilum
UBERON:0001473	lymphatic vessel	Lymphatic Vessels	UBERON:0004641	spleen capsule	Capsule
UBERON:0001265	trabecula of spleen	Trabeculae	UBERON:0004641	spleen capsule	Capsule
UBERON:0012373	sympathetic nerve plexus	Sympathetic nerves 	UBERON:0001265	trabecula of spleen	Trabeculae
UBERON:0001473	lymphatic vessel	Lymphatic Vessels	UBERON:0001265	trabecula of spleen	Trabeculae
