s	slabel	user_slabel	o	olabel	user_olabel	row_number	deltaIC
UBERON:0034713	cranial neuron projection bundle	nerve bundle	UBERON:0004904	neuron projection bundle connecting eye with brain	optic nerve	68	35.536275894039726
UBERON:0003902	retinal neural layer	retinal neural layer	UBERON:0004904	neuron projection bundle connecting eye with brain	optic nerve	67	27.496328643064864
CL:0011005	GABAergic interneuron	GABAergic interneuron	CL:0000561	Amacrine Cell	Amacrine cell	13	18.673258725295504
UBERON:0001773	sclera	sclera	UBERON:0004904	neuron projection bundle connecting eye with brain	optic nerve	66	18.56935131575574
CL:0000573	retinal cone cell	retinal cone cell	UBERON:0001789	outer nuclear layer of retina	outer nuclear layer	33	10.436292241602374
CL:0011004	lens fiber cell	lens fiber cell	UBERON:0000390	lens nucleus	Adult nucleus	45	6.069474557545078
CL:0000604	retinal rod cell	retinal rod cell	UBERON:0001789	outer nuclear layer of retina	outer nuclear layer	51	5.844911983463405
CL:0011004	lens fiber cell	lens fiber cell	UBERON:0000389	lens cortex	cortex	46	4.591380258138969
CL:0011004	lens fiber cell	lens fiber cell	UBERON:0000389	lens cortex	cortex	47	4.591380258138969
UBERON:0000482	basal lamina of epithelium	basal epithelium	UBERON:0006761	corneo-scleral junction	corneoscleral limbus	74	2.2287791510404986
CL:4030028	glycinergic amacrine cell	Glycinergic Amacrine Cell	UBERON:0001791	inner nuclear layer of retina	inner nuclear layer	14	
CL:0004253	wide field retinal amacrine cell	wide field cell	CL:0004252	medium field retinal amacrine cell	medium-field cell	15	
CL:0004253	wide field retinal amacrine cell	wide field cell	UBERON:0001791	inner nuclear layer of retina	inner nuclear layer	15	
CL:0004219	A2 amacrine cell	A2 cell	UBERON:0001791	inner nuclear layer of retina	inner nuclear layer	18	
CL:0004232	starburst amacrine cell	starburst amacrine cell	UBERON:0001791	inner nuclear layer of retina	inner nuclear layer	19	
CL:4033027	diffuse bipolar 1 cell	Diffuse bipolar 1 (DB1)	UBERON:0001791	inner nuclear layer of retina	inner nuclear layer	22	
CL:4033028	diffuse bipolar 2 cell	Diffuse bipolar 2 cell	UBERON:0001791	inner nuclear layer of retina	inner nuclear layer	23	
CL:4033029	diffuse bipolar 3a cell	Diffuse bipolar 3a cell	UBERON:0001791	inner nuclear layer of retina	inner nuclear layer	24	
CL:4033030	diffuse bipolar 3b cell	Diffuse bipolar 3b cell	UBERON:0001791	inner nuclear layer of retina	inner nuclear layer	25	
CL:4033033	flat midget bipolar cell	Flat midget bipolar cell	UBERON:0001791	inner nuclear layer of retina	inner nuclear layer	28	
UBERON:0002203	vasculature of eye	vasculature of eye	UBERON:0000966	retina	retina	32	
CL:0002585	retinal blood vessel endothelial cell	Endothelial Cell	UBERON:0004864	vasculature of retina	vasculature	34	
CL:4023188	Midget ganglion cell of retina	Midget cell	UBERON:0001792	ganglionic layer of retina	retinal ganglion cell layer	35	
CL:4023189	Parasol ganglion cell of retina	Parasol cell	UBERON:0001792	ganglionic layer of retina	retinal ganglion cell layer	36	
CL:0002228	primary lens fiber	primary lens fiber	UBERON:0002444	lens fiber	lens Fibers	38	
CL:0002225	secondary lens fiber	mature fiber cell	UBERON:0000390	lens nucleus	Fetal nucleus	44	
CL:0000129	microglial cell	microglial cell	CL:0000540	neuron	Neuron	48	
CL:0000129	microglial cell	microglial cell	UBERON:0000966	retina	retina	48	
CL:0000636	Mueller cell	Muller glia	CL:0000540	neuron	Neuron	49	
CL:0000636	Mueller cell	Muller glia	UBERON:0001791	inner nuclear layer of retina	inner nuclear layer	49	
CL:0000669	pericyte	Pericyte	UBERON:0004864	vasculature of retina	vasculature	50	
CL:0002363	keratocyte	keratocyte	UBERON:0003952	anterior stroma of cornea	anterior stroma of cornea	56	
CL:0017004	telocyte	telocyte	UBERON:0003952	anterior stroma of cornea	anterior stroma of cornea	57	
UBERON:0006762	suspensory ligament of lens	ciliary zonules	UBERON:0000965	lens	lens	59	
UBERON:0004904	neuron projection bundle connecting eye with brain	optic nerve	UBERON:0000970	eye	eye	64	
UBERON:0004904	neuron projection bundle connecting eye with brain	optic nerve	UBERON:0000970	eye	eye	65	
UBERON:0035966	scleral lamina cribrosa	scleral lamina cribrosa	UBERON:0004904	neuron projection bundle connecting eye with brain	optic nerve	65	
UBERON:0004904	neuron projection bundle connecting eye with brain	optic nerve	UBERON:0000970	eye	eye	66	
UBERON:0004904	neuron projection bundle connecting eye with brain	optic nerve	UBERON:0000970	eye	eye	67	
UBERON:0004904	neuron projection bundle connecting eye with brain	optic nerve	UBERON:0000970	eye	eye	68	
UBERON:0004904	optic nerve	neuron projection bundle connecting eye with brain	UBERON:0000970	eye	eye	70	
UBERON:0006136	unmyelinated nerve fiber	unmyelinated nerve bundles	UBERON:0004904	optic nerve	neuron projection bundle connecting eye with brain	70	
UBERON:0002276	lamina of spiral limbus	lamina of spiral limbus	UBERON:0000970	eye	eye	74	
UBERON:0006761	corneo-scleral junction	corneoscleral limbus	UBERON:0002276	lamina of spiral limbus	lamina of spiral limbus	74	
