s	slabel	user_slabel	o	olabel	user_olabel	row_number	deltaIC
CL:0019018	blood vessel smooth muscle cell	blood vessel smooth muscle cell	UBERON:0012418	respiratory system venous smooth muscle	venous system smooth muscle	30	20.166905604585196
CL:0019018	blood vessel smooth muscle cell	blood vessel smooth muscle cell	UBERON:0012416	respiratory system arterial smooth muscle	arterial system smooth muscle	32	20.166905604585196
CL:1000413	endothelial cell of artery	endothelial cell of artery	UBERON:0004848	respiratory system arterial endothelium	respiratory system arterial endothelium	31	15.252315319331018
CL:0019019	tracheobronchial smooth muscle cell	tracheobronchial smooth muscle cell	UBERON:0006680	trachealis	trachealis	17	9.182808828887772
UBERON:0005203	trachea gland	tracheal submucosal gland	UBERON:0002202	submucosa of trachea	submucosa of trachea	18	0.884511461285598
UBERON:0005203	trachea gland	tracheal submucosal gland	UBERON:0002202	submucosa of trachea	submucosa of trachea	19	0.884511461285598
UBERON:0005203	trachea gland	tracheal submucosal gland	UBERON:0002202	submucosa of trachea	submucosa of trachea	20	0.884511461285598
UBERON:0005203	trachea gland	tracheal submucosal gland	UBERON:0002202	submucosa of trachea	submucosa of trachea	21	0.884511461285598
UBERON:0005203	trachea gland	tracheal submucosal gland	UBERON:0002202	submucosa of trachea	submucosa of trachea	22	0.884511461285598
UBERON:0005203	trachea gland	tracheal submucosal gland	UBERON:0002202	submucosa of trachea	submucosa of trachea	23	0.884511461285598
CL:0002145	ciliated columnar cell of tracheobronchial tree	ciliated columnar cell of tracheobronchial tree	UBERON:0001901	epithelium of trachea	tracheal epithelium	12	
CL:1000223	lung neuroendocrine cell	lung neuroendocrine cell	UBERON:0001901	epithelium of trachea	tracheal epithelium	13	
CL:0019002	tracheobronchial chondrocyte	tracheobronchial chondrocyte	UBERON:0006679	carina of trachea	carina of trachea	24	
CL:0019002	tracheobronchial chondrocyte	tracheobronchial chondrocyte	UBERON:0003604	trachea cartilage	trachea cartilage	25	
CL:4033025	perichondrial fibroblast	perichondrial fibroblast	UBERON:0003571	trachea connective tissue	trachea connective tissue	28	
UBERON:0004849	respiratory system venous endothelium	respiratory system venous endothelium	UBERON:0001592	bronchial vein	bronchial vein	29	
CL:4033008	vein endothelial cell of respiratory system	vein endothelial cell of respiratory system	UBERON:0004849	respiratory system venous endothelium	respiratory system venous endothelium	29	
UBERON:0012418	respiratory system venous smooth muscle	venous system smooth muscle	UBERON:0001592	bronchial vein	bronchial vein	30	
UBERON:0004848	respiratory system arterial endothelium	respiratory system arterial endothelium	UBERON:0002040	bronchial artery	bronchial artery	31	
UBERON:0012416	respiratory system arterial smooth muscle	arterial system smooth muscle	UBERON:0002040	bronchial artery	bronchial artery	32	
